Old School ID,School ID
a1NC0000001GnYyMAK,a08C000000IBy2Y
a1NC0000001HN8BMAW,a08C000000IBy4u
a1NC0000001HN8uMAG,a08C000000IBy4v
a1NC0000001HBxUMAW,a08C000000IBy47
a1NC0000001HBxZMAW,a08C000000IBy48
a1NC0000001HBxeMAG,a08C000000IBy49
a1NC0000001HBxjMAG,a08C000000IBy4A
a1NC0000001HBxoMAG,a08C000000IBy4B
a1NC0000001HBxtMAG,a08C000000IBy4C
a1NC0000001HBy3MAG,a08C000000IBy4D
a1NC0000001HCIcMAO,a08C000000IBy4L
a1NC0000001HCISMA4,a08C000000IBy4J
a1NC0000001HCIXMA4,a08C000000IBy4K
a1NC0000001HNn9MAG,a08C000000IBy5i
a1NC0000001HNnAMAW,a08C000000IBy5j
a1NC0000001HNnEMAW,a08C000000IBy5k
a1NC0000001HNnJMAW,a08C000000IBy5l
a1NC0000001HNnOMAW,a08C000000IBy5m
a1NC0000001GQAAMA4,a08C000000IBy0T
a1NC0000001GQAFMA4,a08C000000IBy0U
a1NC0000001GQAKMA4,a08C000000IBy0V
a1NC0000001GQAUMA4,a08C000000IBy0W
a1NC0000001GQAZMA4,a08C000000IBy0X
a1NC0000000YIm9MAG,a08C000000IBxEg
a1NC0000000YImAMAW,a08C000000IBxEh
a1NC0000000YImBMAW,a08C000000IBxEi
a1NC0000000YImCMAW,a08C000000IBxEj
a1NC0000000YImDMAW,a08C000000IBxEk
a1NC0000000YImEMAW,a08C000000IBxEl
a1NC0000000YImFMAW,a08C000000IBxEm
a1NC0000001HO8TMAW,a08C000000IBy6m
a1NC0000001HO8YMAW,a08C000000IBy6n
a1NC0000001HO8dMAG,a08C000000IBy6o
a1NC0000001HO8iMAG,a08C000000IBy6p
a1NC0000001HOKeMAO,a08C000000IBy6q
a1NC0000001Ga5mMAC,a08C000000IBy2H
a1NC0000001Ga5rMAC,a08C000000IBy2I
a1NC0000001Ga5wMAC,a08C000000IBy2J
a1NC0000001Ga61MAC,a08C000000IBy2K
a1NC0000001GoxBMAS,a08C000000IBy2u
a1NC0000001GoxGMAS,a08C000000IBy2v
a1NC0000001GoxLMAS,a08C000000IBy2w
a1NC0000001GoxVMAS,a08C000000IBy2x
a1NC0000001GoxaMAC,a08C000000IBy2y
a1NC0000001HNyJMAW,a08C000000IBy6D
a1NC0000001HNyOMAW,a08C000000IBy6E
a1NC0000001HNyTMAW,a08C000000IBy6F
a1NC0000001HNyYMAW,a08C000000IBy6H
a1NC0000001HNydMAG,a08C000000IBy6I
a1NC0000001HNyiMAG,a08C000000IBy6J
a1NC0000001HAMNMA4,a08C000000IBy40
a1NC0000001HAMcMAO,a08C000000IBy41
a1NC0000001GQ2qMAG,a08C000000IBy0C
a1NC0000001GQ4dMAG,a08C000000IBy0E
a1NC0000001GQ5uMAG,a08C000000IBy0N
a1NC0000001GQ68MAG,a08C000000IBy0Q
a1NC0000001GQ6DMAW,a08C000000IBy0R
a1NC0000000YIlqMAG,a08C000000IBxEN
a1NC0000000YIlrMAG,a08C000000IBxEO
a1NC0000000YIlsMAG,a08C000000IBxEP
a1NC0000000YIltMAG,a08C000000IBxEQ
a1NC0000000YIluMAG,a08C000000IBxER
a1NC0000000YIlvMAG,a08C000000IBxES
a1NC0000000YIlwMAG,a08C000000IBxET
a1NC0000001HNyjMAG,a08C000000IBy6K
a1NC0000001HNyxMAG,a08C000000IBy6M
a1NC0000001HNz2MAG,a08C000000IBy6N
a1NC0000001HNz7MAG,a08C000000IBy6O
a1NC0000001HNzCMAW,a08C000000IBy6P
a1NC0000001HNzHMAW,a08C000000IBy6Q
a1NC0000001HNzMMAW,a08C000000IBy6R
a1NC0000001HNzRMAW,a08C000000IBy6S
a1NC0000001HNzWMAW,a08C000000IBy6T
a1NC0000001HNzbMAG,a08C000000IBy6U
a1NC0000000YJILMA4,a08C000000IBxjh
a1NC0000000YJIaMAO,a08C000000IBxjw
